CODE,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Tot Cases 1m pop,Deaths 1M pop,Total Tests,Tests 1M pop,Population,
USA,USA,"18,59,323",,"1,06,925",,"6,15,416","11,36,982","16,949","5,620",323,"1,81,50,053","54,859","33,08,48,770",
BRA,Brazil,"5,29,405",,"30,046",,"2,11,080","2,88,279","8,318","2,492",141,"9,30,013","4,378","21,24,38,640",
RUS,Russia,"4,14,878",,"4,855",,"1,75,877","2,34,146","2,300","2,843",33,"1,09,23,108","74,852","14,59,29,678",
ESP,Spain,"2,86,718",,"27,127",,"1,96,958","62,633",617,"6,133",580,"40,63,843","86,921","4,67,53,394",
UK,UK,"2,76,332",,"39,045",,N/A,N/A,"1,559","4,072",575,"42,85,738","63,158","6,78,57,854",
ITA,Italy,"2,33,197",,"33,475",,"1,58,355","41,367",424,"3,857",554,"39,10,133","64,664","6,04,68,537",
IND,India,"1,98,370",,"5,608",,"95,754","97,008","8,944",144,4,"38,37,207","2,783","1,37,89,00,337",
FRA,France,"1,89,220",,"28,833",,"68,440","91,947","1,302","2,899",442,"13,84,633","21,216","6,52,62,335",
DEU,Germany,"1,83,765",,"8,618",,"1,65,900","9,247",677,"2,194",103,"39,52,971","47,192","8,37,63,076",
PER,Peru,"1,70,039",,"4,634",,"68,507","96,898",988,"5,163",141,"10,76,659","32,692","3,29,33,472",
TUR,Turkey,"1,64,769",,"4,563",,"1,28,947","31,259",651,"1,955",54,"20,70,719","24,574","8,42,64,770",
IRN,Iran,"1,54,445",,"7,878",,"1,21,004","25,563","2,578","1,841",94,"9,55,865","11,392","8,39,03,764",
CHL,Chile,"1,05,159",,"1,113",,"44,946","59,100","1,446","5,505",58,"5,99,330","31,374","1,91,02,957",
MEX,Mexico,"93,435","2,771","10,167",237,"67,491","15,777",378,725,79,"2,70,992","2,104","12,88,22,037",
CAN,Canada,"91,705",,"7,326",,"49,726","34,653","1,648","2,431",194,"16,95,918","44,966","3,77,15,413",
SAU,Saudi Arabia,"87,142",,525,,"64,306","22,311",384,"2,506",15,"8,22,769","23,664","3,47,68,083",
CHN,China,"83,022",5,"4,634",,"78,315",73,3,58,3,,,"1,43,93,23,776",
PAK,Pakistan,"72,460",,"1,543",,"26,083","44,834",111,329,7,"5,61,136","2,545","22,05,21,124",
BEL,Belgium,"58,517",,"9,486",,"15,919","33,112",163,"5,051",819,"8,76,306","75,637","1,15,85,664",
QAT,Qatar,"58,433",,40,,"33,437","24,956",240,"20,311",14,"2,25,919","78,528","28,76,910",
BGD,Bangladesh,"49,534",,672,,"10,597","38,265",1,301,4,"3,20,969","1,951","16,45,55,754",
NLD,Netherlands,"46,545",,"5,962",,N/A,N/A,158,"2,717",348,"3,49,496","20,400","1,71,31,938",
BLR,Belarus,"43,403",,240,,"18,776","24,387",92,"4,593",25,"5,53,377","58,561","94,49,559",
ECU,Ecuador,"39,098",,"3,358",,"19,592","16,148",220,"2,219",191,"1,17,422","6,664","1,76,20,485",
SWE,Sweden,"37,814",,"4,403",,"4,971","28,440",267,"3,746",436,"2,38,800","23,657","1,00,94,260",
SGP,Singapore,"35,292",,24,,"22,466","12,802",7,"6,036",4,"3,34,691","57,245","58,46,646",
UAE,UAE,"35,192",,266,,"18,338","16,588",1,"3,562",27,"21,10,493","2,13,601","98,80,535",
ZAF,South Africa,"34,357",,705,,"17,291","16,361",128,580,12,"7,42,742","12,536","5,92,46,734",
PRT,Portugal,"32,700",,"1,424",,"19,552","11,724",64,"3,206",140,"8,12,415","79,657","1,01,98,931",
SWZ,Switzerland,"30,871",,"1,920",,"28,500",451,28,"3,569",222,"3,99,215","46,154","86,49,556",
COL,Colombia,"30,493",,969,,"9,661","19,863",136,600,19,"3,19,779","6,290","5,08,38,520",
KWT,Kuwait,"27,762",,220,,"12,899","14,643",204,"6,509",52,"2,90,013","67,994","42,65,264",
IDN,Indonesia,"26,940",,"1,641",,"7,637","17,662",,99,6,"3,33,415","1,220","27,32,87,113",
EGY,Egypt,"26,384",,"1,005",,"6,447","18,932",41,258,10,"1,35,000","1,321","10,21,67,945",
IRL,Ireland,"25,062",,"1,650",,"22,089","1,323",36,"5,080",334,"3,25,795","66,041","49,33,258",
POL,Poland,"24,165",,"1,074",,"11,449","11,642",160,638,28,"9,31,520","24,611","3,78,49,748",
UKR,Ukraine,"24,012",,718,,"9,690","13,604",283,549,16,"3,63,187","8,301","4,37,52,988",
ROU,Romania,"19,398",,"1,276",,"13,426","4,696",159,"1,008",66,"4,43,252","23,030","1,92,47,039",
PHL,Philippines,"18,638",,960,,"3,979","13,699",73,170,9,"3,58,676","3,277","10,94,59,685",
DOM,Dominican Republic,"17,572",,502,,"10,893","6,177",110,"1,621",46,"81,647","7,533","1,08,39,047",
ARG,Argentina,"17,415",,556,,"5,521","11,338",274,386,12,"1,64,084","3,633","4,51,62,170",
ISR,Israel,"17,169",,285,,"14,878","2,006",33,"1,867",31,"5,68,452","61,804","91,97,590",
JPN,Japan,"16,884",,892,,"14,502","1,490",115,133,7,"2,92,569","2,313","12,65,05,371",
AUT,Austria,"16,733",,668,,"15,596",469,29,"1,859",74,"4,51,820","50,189","90,02,328",
AFG,Afghanistan,"15,750",,265,,"1,428","14,057",19,405,7,"39,628","1,020","3,88,50,966",
PAN,Panama,"13,837",,344,,"9,514","3,979",78,"3,211",80,"67,730","15,718","43,09,025",
OMN,Oman,"12,223",,50,,"2,682","9,491",31,"2,399",10,"1,00,181","19,663","50,94,952",
BHR,Bahrain,"11,871",,19,,"7,070","4,782",11,"7,000",11,"3,22,054","1,89,897","16,95,942",
DNK,Denmark,"11,699",,576,,"10,412",711,20,"2,020",99,"6,37,738","1,10,133","57,90,610",
KOR,S. Korea,"11,541",38,272,1,"10,446",823,15,225,5,"9,39,851","18,333","5,12,65,802",
SRB,Serbia,"11,430",,244,,"6,726","4,460",9,"1,308",28,"2,47,760","28,348","87,39,982",
KAZ,Kazakhstan,"11,308",,41,,"5,587","5,680",62,603,2,"8,28,377","44,161","1,87,58,176",
NGA,Nigeria,"10,578",,299,,"3,122","7,157",7,51,1,"63,882",311,"20,56,82,185",
BOL,Bolivia,"9,982",,313,,968,"8,701",3,856,27,"28,239","2,422","1,16,59,740",
DZA,Algeria,"9,513",,661,,"5,894","2,958",25,217,15,,,"4,37,83,102",
ARM,Armenia,"9,492",,139,,"3,402","5,951",10,"3,204",47,"58,668","19,801","29,62,815",
CZE,Czechia,"9,302",,321,,"6,642","2,339",15,869,30,"4,42,866","41,361","1,07,07,447",
NOR,Norway,"8,446",,236,,"7,727",483,8,"1,559",44,"2,45,352","45,286","54,17,837",
MDA,Moldova,"8,360",,305,,"4,622","3,433",251,"2,072",76,"55,582","13,776","40,34,667",
GHA,Ghana,"8,070",,36,,"2,947","5,087",3,260,1,"2,18,425","7,042","3,10,16,284",
MYS,Malaysia,"7,857",,115,,"6,404","1,338",8,243,4,"5,60,738","17,343","3,23,31,595",
MAR,Morocco,"7,833",,205,,"5,893","1,735",13,212,6,"2,21,554","6,008","3,68,74,488",
AUS,Australia,"7,204",,103,,"6,619",482,3,283,4,"14,72,220","57,790","2,54,75,529",
FIN,Finland,"6,885",,318,,"5,500","1,067",9,"1,243",57,"1,85,484","33,481","55,40,057",
IRQ,Iraq,"6,868",,215,,"3,275","3,378",43,171,5,"2,38,251","5,935","4,01,42,869",
CMR,Cameroon,"6,397",,199,,"3,629","2,569",28,242,8,,,"2,64,86,666",
AZE,Azerbaijan,"5,662",,68,,"3,508","2,086",42,559,7,"3,02,933","29,899","1,01,31,780",
HND,Honduras,"5,362",160,217,5,549,"4,596",13,542,22,"14,790","1,495","98,91,275",
GTM,Guatemala,"5,336",249,116,8,795,"4,425",5,298,6,"31,427","1,757","1,78,87,052",
SDN,Sudan,"5,173",,298,,"1,522","3,353",,118,7,401,9,"4,37,58,425",
LUX,Luxembourg,"4,019",,110,,"3,845",64,4,"6,429",176,"75,594","1,20,928","6,25,114",
TJK,Tajikistan,"4,013",,47,,"2,089","1,877",,422,5,,,"95,18,744",
HUN,Hungary,"3,892",,527,,"2,156","1,209",25,403,55,"1,87,965","19,454","96,62,189",
GIN,Guinea,"3,844",,23,,"2,135","1,686",24,293,2,"14,407","1,100","1,31,00,435",
SEN,Senegal,"3,739",,42,,"1,858","1,839",14,224,3,"43,129","2,582","1,67,04,036",
UZB,Uzbekistan,"3,702",,15,,"2,859",828,9,111,0.4,"4,60,000","13,761","3,34,28,522",
DJI,Djibouti,"3,569",,24,,"1,521","2,024",,"3,617",24,"28,260","28,638","9,86,795",
DRC,DRC,"3,195",,72,,454,"2,669",,36,0.8,,,"8,93,08,966",
THA,Thailand,"3,082",,57,,"2,965",60,1,44,0.8,"4,20,529","6,026","6,97,86,399",
,Ivory Coast,"2,951",,33,,"1,467","1,451",,112,1,"27,650","1,051","2,63,19,804",
GRC,Greece,"2,918",,179,,"1,374","1,365",12,280,17,"1,82,423","17,496","1,04,26,808",
GAB,Gabon,"2,655",,17,,722,"1,916",15,"1,195",8,"14,122","6,358","22,21,067",
SLV,El Salvador,"2,582",,46,,"1,063","1,473",53,398,7,"91,837","14,164","64,83,624",
BIH,Bosnia and Herzegovina,"2,524",,154,,"1,888",482,4,769,47,"65,900","20,077","32,82,310",
BGR,Bulgaria,"2,519",,140,,"1,090","1,289",17,362,20,"81,694","11,751","69,52,233",
,North Macedonia,"2,315",,140,,"1,569",606,21,"1,111",67,"30,302","14,545","20,83,381",
HRV,Croatia,"2,246",,103,,"2,077",66,4,547,25,"66,695","16,239","41,07,117",
HTI,Haiti,"2,226",102,45,1,24,"2,157",,195,4,"5,270",463,"1,13,91,042",
CUB,Cuba,"2,083",,83,,"1,826",174,3,184,7,"1,07,037","9,450","1,13,27,141",
SOM,Somalia,"2,023",,79,,361,"1,583",2,128,5,,,"1,58,52,747",
KEN,Kenya,"2,021",,69,,482,"1,470",7,38,1,"80,054","1,492","5,36,67,080",
,Mayotte,"1,934",,24,,"1,473",437,10,"7,104",88,"5,200","19,102","2,72,228",
EST,Estonia,"1,870",,68,,"1,625",177,,"1,410",51,"84,156","63,444","13,26,467",
MDV,Maldives,"1,829",,6,,488,"1,335",9,"3,389",11,"11,775","21,817","5,39,729",
KGZ,Kyrgyzstan,"1,817",,16,,"1,181",620,4,279,2,"1,11,859","17,169","65,15,051",
NPL,Nepal,"1,811",,8,,221,"1,582",,62,0.3,"1,85,660","6,382","2,90,91,863",
ISL,Iceland,"1,806",,10,,"1,794",2,,"5,295",29,"61,138","1,79,255","3,41,067",
LTU,Lithuania,"1,678",,70,,"1,236",372,17,616,26,"3,04,854","1,11,876","27,24,919",
LKA,Sri Lanka,"1,643",,11,,811,821,1,77,0.5,"65,355","3,053","2,14,06,209",
SVK,Slovakia,"1,522",,28,,"1,368",126,,279,5,"1,72,875","31,665","54,59,440",
VEN,Venezuela,"1,510",,14,,302,"1,194",3,53,0.5,"9,75,825","34,309","2,84,41,965",
NZL,New Zealand,"1,504",,22,,"1,481",1,,301,4,"2,82,263","56,429","50,02,100",
SVN,Slovenia,"1,473",,109,,"1,358",6,1,709,52,"80,407","38,677","20,78,916",
GIN,Guinea-Bissau,"1,339",,8,,53,"1,278",,682,4,"1,500",764,"19,63,867",
MLI,Mali,"1,315",,78,,744,493,,65,4,"3,483",172,"2,01,97,289",
GNQ,Equatorial Guinea,"1,306",,12,,200,"1,094",,934,9,"8,268","5,911","13,98,647",
ETH,Ethiopia,"1,257",,12,,217,"1,028",4,11,0.1,"1,12,377",980,"11,47,08,673",
LBN,Lebanon,"1,233",,27,,715,491,4,181,4,"84,176","12,329","68,27,705",
ALB,Albania,"1,143",,33,,877,233,3,397,11,"14,825","5,151","28,78,035",
ZMB,Zambia,"1,089",,7,,912,170,1,59,0.4,"28,236","1,540","1,83,36,926",
HKG,Hong Kong,"1,088",,4,,"1,037",47,2,145,0.5,"2,02,930","27,086","74,92,087",
TUN,Tunisia,"1,084",,48,,964,72,2,92,4,"52,503","4,446","1,18,08,514",
CRI,Costa Rica,"1,084",,10,,676,398,5,213,2,"26,622","5,230","50,90,350",
CAR,CAR,"1,069",,4,,23,"1,042",,222,0.8,"15,021","3,115","48,22,593",
LVA,Latvia,"1,066",,24,,745,297,3,565,13,"1,09,723","58,126","18,87,671",
PRY,Paraguay,995,,11,,488,496,2,140,2,"30,834","4,327","71,25,294",
SSD,South Sudan,994,,10,,6,978,,89,0.9,"3,356",300,"1,11,82,914",
NER,Niger,958,,65,,844,49,,40,3,"6,058",251,"2,41,22,457",
CYP,Cyprus,949,,17,,790,142,4,786,14,"1,17,411","97,303","12,06,656",
SLE,Sierra Leone,865,,46,,475,344,,109,6,,,"79,62,861",
BFA,Burkina Faso,847,,53,,720,74,,41,3,,,"2,08,51,107",
MDG,Madagascar,826,,6,,174,646,8,30,0.2,"10,249",371,"2,76,26,918",
URY,Uruguay,825,,23,,689,113,4,238,7,"44,551","12,829","34,72,791",
GEO,Georgia,794,,12,,624,158,6,199,3,"56,987","14,283","39,89,743",
TCD,Chad,790,,66,,539,185,,48,4,,,"1,63,82,626",
AND,Andorra,765,,51,,698,16,4,"9,902",660,"3,750","48,541","77,255",
NIC,Nicaragua,759,,35,,370,354,,115,5,,,"66,18,054",
JOR,Jordan,746,,9,,535,202,5,73,0.9,"1,93,060","18,937","1,01,94,886",
,Diamond Princess,712,,13,,651,48,4,,,,,0,
SMR,San Marino,671,,42,,359,270,1,"19,779","1,238","4,485","1,32,203","33,925",
MLT,Malta,619,,9,,537,73,1,"1,402",20,"69,622","1,57,711","4,41,452",
CG,Congo,611,,20,,179,412,,111,4,,,"55,05,940",
MRT,Mauritania,588,,23,,27,538,,127,5,"7,654","1,650","46,38,613",
JAM,Jamaica,586,,9,,311,266,2,198,3,"12,702","4,291","29,60,152",
,Channel Islands,560,,45,,528,-13,,"3,223",259,"10,255","59,027","1,73,733",
TZA,Tanzania,509,,21,,183,305,7,9,0.4,,,"5,95,78,342",
GUF,French Guiana,499,,1,,200,298,2,"1,675",3,,,"2,97,984",
STP,Sao Tome and Principe,484,,12,,68,404,,"2,212",55,175,800,"2,18,809",
,Réunion,473,,1,,411,61,1,529,1,"17,200","19,222","8,94,801",
CPV,Cabo Verde,458,,4,,193,261,,824,7,"1,307","2,353","5,55,492",
UGA,Uganda,457,,,,72,385,,10,,"96,825","2,123","4,56,06,102",
,Palestine,449,,3,,372,74,,88,0.6,"44,876","8,815","50,90,899",
TGO,Togo,443,,13,,215,215,,54,2,"20,500","2,481","82,61,500",
TWN,Taiwan,443,,7,,427,9,,19,0.3,"72,319","3,037","2,38,13,449",
RWA,Rwanda,377,,1,,262,114,,29,0.08,"66,976","5,183","1,29,23,473",
YEM,Yemen,354,,84,,14,256,,12,3,120,4,"2,97,68,166",
IMN,Isle of Man,336,,24,,311,1,,"3,953",282,"4,933","58,037","84,997",
MWI,Malawi,336,,4,,42,290,1,18,0.2,"5,049",265,"1,90,85,404",
MUS,Mauritius,335,,10,,322,3,,263,8,"1,20,358","94,650","12,71,605",
VNM,Vietnam,328,,,,293,35,1,3,,"2,75,000","2,827","9,72,67,698",
MNE,Montenegro,324,,9,,315,0,,516,14,"10,167","16,188","6,28,060",
LBR,Liberia,296,,27,,159,110,,59,5,,,"50,47,124",
,Eswatini,293,,3,,194,96,,253,3,"4,994","4,308","11,59,183",
MOZ,Mozambique,254,,2,,97,155,,8,0.06,"10,970",352,"3,11,75,443",
BEN,Benin,243,,3,,147,93,,20,0.2,"34,682","2,868","1,20,94,521",
,Myanmar,228,,6,,138,84,,4,0.1,"27,077",498,"5,43,80,722",
ZWE,Zimbabwe,203,,4,,29,170,,14,0.3,"46,613","3,140","1,48,44,771",
,Martinique,200,,14,,98,88,,533,37,,,"3,75,287",
FRO,Faeroe Islands,187,,,,187,0,,"3,828",,"9,677","1,98,104","48,848",
MNG,Mongolia,185,,,,44,141,19,57,,"14,037","4,288","32,73,816",
GIB,Gibraltar,170,,,,151,19,,"5,046",,"7,644","2,26,879","33,692",
LBY,Libya,168,,5,,52,111,,24,0.7,"6,206",904,"68,63,501",
GPL,Guadeloupe,162,,14,,138,10,1,405,35,"4,137","10,339","4,00,119",
GUY,Guyana,153,,12,,70,71,2,195,15,"1,658","2,109","7,86,253",
CYM,Cayman Islands,150,,1,,75,74,,"2,285",15,"11,944","1,81,912","65,658",
BMW,Bermuda,141,,9,,112,20,2,"2,263",144,"7,506","1,20,491","62,295",
BRN,Brunei,141,,2,,138,1,1,323,5,"19,516","44,645","4,37,139",
KHM,Cambodia,125,,,,123,2,1,7,,"20,895","1,251","1,66,99,641",
SYR,Syria,123,,5,,46,72,,7,0.3,,,"1,74,62,715",
TTO,Trinidad and Tobago,117,,8,,108,1,,84,6,"3,169","2,265","13,99,135",
COM,Comoros,106,,2,,26,78,,122,2,,,"8,67,979",
BHM,Bahamas,102,,11,,49,42,1,260,28,"2,101","5,347","3,92,939",
ABW,Aruba,101,,3,,98,0,,946,28,"2,134","19,994","1,06,730",
MCO,Monaco,99,,4,,90,5,1,"2,524",102,"16,200","4,13,055","39,220",
BRB,Barbados,92,,7,,76,9,1,320,24,"5,471","19,040","2,87,348",
AGO,Angola,86,,4,,18,64,1,3,0.1,"10,000",305,"3,27,71,074",
LIE,Liechtenstein,82,,1,,55,26,,"2,151",26,900,"23,610","38,119",
MAF,Sint Maarten,77,,15,,60,2,1,"1,798",350,461,"10,762","42,836",
BDI,Burundi,63,,1,,33,29,,5,0.08,284,24,"1,18,58,077",
PYF,French Polynesia,60,,,,60,0,,214,,"4,040","14,389","2,80,779",
MCO,Macao,45,,,,45,0,,69,,,,"6,48,597",
SUR,Suriname,44,,1,,9,34,,75,2,782,"1,334","5,86,207",
BTN,Bhutan,43,,,,6,37,,56,,"17,344","22,498","7,70,911",
MAF,Saint Martin,41,,3,,33,5,1,"1,062",78,614,"15,903","38,610",
ERI,Eritrea,39,,,,39,0,,11,,,,"35,42,322",
BWA,Botswana,38,,1,,20,17,,16,0.4,"21,716","9,251","23,47,497",
ATG,Antigua and Barbuda,26,,3,,19,4,1,266,31,183,"1,870","97,864",
VCT,St. Vincent Grenadines,26,,,,15,11,,234,,593,"5,347","1,10,913",
GMB,Gambia,25,,1,,20,4,,10,0.4,"1,756",728,"24,10,463",
NAM,Namibia,25,,,,16,9,,10,,"3,970","1,565","25,36,955",
TLS,Timor-Leste,24,,,,24,0,,18,,"1,290",980,"13,16,277",
GRD,Grenada,23,,,,18,5,2,204,,"3,516","31,258","1,12,482",
NCL,New Caledonia,20,,,,18,2,,70,,"6,681","23,420","2,85,275",
CUW,Curaçao,19,,1,,14,4,,116,6,572,"3,487","1,64,040",
LAO,Laos,19,,,,16,3,,3,,"7,180",988,"72,66,705",
BLZ,Belize,18,,2,,16,0,,45,5,"1,572","3,960","3,97,008",
FJI,Fiji,18,,,,15,3,,20,,"2,431","2,713","8,95,925",
LCA,Saint Lucia,18,,,,18,0,,98,,"1,012","5,513","1,83,561",
DMA,Dominica,16,,,,16,0,,222,,433,"6,016","71,972",
KNA,Saint Kitts and Nevis,15,,,,15,0,,282,,396,"7,448","53,169",
FRO,Falkland Islands,13,,,,13,0,,"3,745",,503,"1,44,915","3,471",
GRL,Greenland,13,,,,11,2,,229,,"2,141","37,719","56,762",
TCA,Turks and Caicos,12,,1,,11,0,,310,26,153,"3,956","38,673",
VAT,Vatican City,12,,,,2,10,,"14,981",,,,801,
MSR,Montserrat,11,,1,,10,0,,"2,204",200,61,"12,220","4,992",
SYC,Seychelles,11,,,,11,0,,112,,,,"98,299",
ZAANDAM,MS Zaandam,9,,2,,,7,,,,,,0,
ESH,Western Sahara,9,,1,,6,2,,15,2,,,"5,96,026",
VGB,British Virgin Islands,8,,1,,7,0,,265,33,167,"5,527","30,215",
PNG,Papua New Guinea,8,,,,8,0,,0.9,,"4,646",520,"89,32,400",
NLD,Caribbean Netherlands,7,,,,7,0,,267,,424,"16,181","26,203",
SBH,St. Barth,6,,,,6,0,,608,,137,"13,873","9,875",
AIA,Anguilla,3,,,,3,0,,200,,41,"2,735","14,992",
LSO,Lesotho,2,,,,1,1,,0.9,,283,132,"21,40,884",
SPM,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,796",
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
